Sentence;Arousal
My latest blog post has gone viral – my notifications are blowing up!;4.3
The annual carnival at the park is more spectacular than ever this year!;4.5
The sermon at the church today has filled me with newfound resolve!;4.2
The community center is organizing a charity fun run – it's going to be a blast!;4.1
This weekend's shopping festival is promising some unbelievable deals!;4.4
Our favorite artist is hosting a meet-and-greet after the concert!;4.3
Our project has been shortlisted for the company innovation awards!;4.2
I've been nominated for 'student of the year' – I'm beyond excited!;4.5
Have you tried the freshly brewed coffee at the corner café? It's absolutely energizing!;4.1
The city marathon is tomorrow – the adrenaline rush is real!;4.4
We're hosting a live Q&A with the author of our book club's current pick tonight!;4.3
The live performance at the park this evening was exceptionally captivating!;4.2
I feel incredibly invigorated after today's yoga session at the church retreat.;4.1
There's a talent showcase at the community center tonight – everyone's buzzing!;4.4
There's a massive sale at the electronics store – time to upgrade my gear!;4.5
The city's annual food festival is kicking off this weekend – it's going to be delicious!;4.3
We just secured a major client – the whole office is celebrating!;4.2
The college reunion is this weekend – can't wait to catch up with everyone!;4.5
The new rooftop café has the most breath-taking city view!;4.4
Rush hour on the subway was intense – I've never seen it so crowded!;4.1
I just got my exam results – I've topped the class!;4.5
I witnessed the most beautiful sunrise during the morning jog in the park.;4.2
The youth service at the church was so inspiring – it was a true awakening!;4.1
The community center is throwing a surprise birthday party for the town's oldest resident!;4.3
The mall is bursting with shoppers – holiday season has officially started!;4.4
The annual music festival line-up has been announced – it's a dream come true!;4.5
We've won the inter-departmental football tournament – the trophy is ours!;4.2
I've been elected the class president – it's such an honor!;4.3
The local café is organizing a poetry slam – I'm so thrilled to participate!;4.1
The holiday parade is in full swing – the town square is so vibrant!;4.4
Our gaming squad just won the national championship – we're ecstatic!;4.5
The summer fair at the park was buzzing with excitement!;4.3
The Easter service at the church was exceptionally moving this year.;4.2
The community center is hosting a vintage car exhibition – it's a must-see!;4.1
The biggest sale of the year is happening – the store is a shopper's paradise!;4.4
The local band's concert at the bar was absolutely rocking!;4.5
Our company just got featured in the leading business magazine – we're making waves!;4.3
I've been selected as the valedictorian – I'm utterly speechless!;4.4
The themed brunch at the café was an absolute delight!;4.1
The city's annual bike race is this weekend – I'm all geared up!;4.2
I've been invited to speak at an online conference – I'm on cloud nine!;4.5
The open-air cinema at the park was an incredible experience!;4.3
The spirit at the church's charity drive was truly uplifting.;4.2
The community center's 'Clean the City' campaign had an overwhelming response!;4.4
The holiday window displays at the mall are a feast for the eyes!;4.1
The surprise celebrity appearance at the music festival sent the crowd into a frenzy!;4.5
We've broken all previous sales records – the office is buzzing with excitement!;4.3
I've received a full scholarship – my dream university here I come!;4.4
The exotic tea tasting event at the café was a sensory delight!;4.2
The city-wide treasure hunt is tomorrow – the anticipation is building!;4.5
I got an unexpected shoutout from a popular influencer – my social media is on fire!;4.3
The annual flower show at the park was a riot of colors – it was breathtaking!;4.1
Today's sermon at the church was a true testament of faith – it was extremely motivating.;4.2
The community center is hosting a pet adoption event – it's time to welcome a furry friend!;4.4
The Black Friday crowd at the mall is unprecedented – it's a shopping extravaganza!;4.5
The jackpot hit at the charity event – we've raised an astronomical sum!;4.9
Our startup just received a multi-million dollar funding – we're over the moon!;4.8
I've just been announced as the winner of the national science contest – I'm on top of the world!;4.7
The legendary band is making a surprise appearance at our local pub – I can hardly contain myself!;4.8
The city marathon's crowd is massive – the energy is through the roof!;4.9
My podcast got featured on a global platform – I'm absolutely euphoric!;4.7
The fireworks display at the park was a spectacle like no other – it left me awe-struck!;4.8
The Easter service at the church has profoundly moved the entire congregation – it's a spiritual awakening!;4.7
The community center's annual gala has drawn a record-breaking crowd – it's a monumental success!;4.8
The holiday sale at the mall is sheer madness – shoppers are going wild!;4.9
