id,split,V,A,D,text,fil_text_5,emotion_features,emotions
110CYL068_2141_2194,train,-0.06000000000000005,0.0,0.125,I rode a bike to Goodwill in the rain and snow.,I rode a bike to Goodwill in the rain and snow.,"(-0.06000000000000005, 0.0, 0.125)",Reprehensible
110CYL068_2195_2216,train,-0.1499999999999999,0.1499999999999999,-0.050000000000000044,I wanted to be there.,I wanted to be there.,"(-0.1499999999999999, 0.1499999999999999, -0.050000000000000044)",Skeptical
110CYL068_2216_2266,train,0.25,0.25,0.375,"..I had my second chance to change my life.""",I had my second chance to change my life.,"(0.25, 0.25, 0.375)",Serious
110CYL068_2273_2373,train,0.31499999999999995,0.125,0.18500000000000005,Your gift to Goodwill will help the many people who want to tell their own stories of success.,Your gift to Goodwill will help the many people who want to tell their own stories of success.,"(0.31499999999999995, 0.125, 0.18500000000000005)",Cooperative
110CYL068_2374_2413,train,0.3500000000000001,0.19999999999999996,0.1499999999999999,Your support will help them go to work.,Your support will help them go to work.,"(0.3500000000000001, 0.19999999999999996, 0.1499999999999999)",Cooperative
110CYL068_2420_2501,train,0.25,0.19999999999999996,0.10000000000000009,Please use the enclosed envelope to give a generous gift to Goodwill today!,Please use the enclosed envelope to give a generous gift to Goodwill today!,"(0.25, 0.19999999999999996, 0.10000000000000009)",Cooperative
110CYL068_2508_2518,train,0.07000000000000006,-0.07000000000000006,0.07000000000000006,"Sincerely,","Sincerely,","(0.07000000000000006, -0.07000000000000006, 0.07000000000000006)",Reserved
110CYL068_2525_2582,train,0.050000000000000044,-0.25,0.10000000000000009,"William A Carter, Chairman Goodwill Industries Foundation","[NAME], Chairman Goodwill Industries Foundation","(0.050000000000000044, -0.25, 0.10000000000000009)",Nonchalant
110CYL068_2589_2593,train,0.0,-0.2849999999999999,0.0,P.S.,P.S.,"(0.0, -0.2849999999999999, 0.0)",Reserved
110CYL068_2594_2642,train,0.25,-0.06499999999999995,0.125,Your gift is a wise investment in the community.,Your gift is a wise investment in the community.,"(0.25, -0.06499999999999995, 0.125)",Modest
110CYL068_2643_2750,train,0.43999999999999995,0.18500000000000005,0.18999999999999995,"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102.","For every dollar donated to Goodwill in 1998, we helped our graduates earn an estimated 102.","(0.43999999999999995, 0.18500000000000005, 0.18999999999999995)",Hopeful
110CYL068_2751_2841,train,0.125,0.06000000000000005,0.125,"That money was then spent in a variety of ways, adding fuel to our thriving economy.","That money was then spent in a variety of ways, adding fuel to our thriving economy.","(0.125, 0.06000000000000005, 0.125)",Aloof
110CYL068_276_386,dev,0.3500000000000001,0.050000000000000044,0.1499999999999999,"She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $49 million dollars.","She tells me that the 3,666 people we helped find jobs in 1998 earned approximately 49 million dollars.","(0.3500000000000001, 0.050000000000000044, 0.1499999999999999)",Modest
110CYL068_31_156,train,0.19999999999999996,0.0,0.050000000000000044,A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.,A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwills help.,"(0.19999999999999996, 0.0, 0.050000000000000044)",Modest
110CYL068_387_522,train,0.18500000000000005,0.09000000000000008,0.18500000000000005,"In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million.","In addition to that, by helping them find jobs, Goodwill reduced the states Public Support tab by an estimated 4 million.","(0.18500000000000005, 0.09000000000000008, 0.18500000000000005)",Aloof
110CYL068_523_653,train,0.30000000000000004,-0.050000000000000044,0.19999999999999996,Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.,Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.,"(0.30000000000000004, -0.050000000000000044, 0.19999999999999996)",Modest
110CYL068_660_695,train,0.0,-0.2250000000000001,-0.09000000000000008,What kind of work does Goodwill do?,What kind of work does [NAME] do?,"(0.0, -0.2250000000000001, -0.09000000000000008)",Solemn
110CYL068_702_771,train,0.14500000000000002,0.0,0.0,Goodwill finds jobs for people with mental and physical disabilities.,Goodwill finds jobs for people with mental and physical disabilities.,"(0.14500000000000002, 0.0, 0.0)",Modest
110CYL068_778_1035,train,0.21500000000000008,0.14500000000000002,0.14500000000000002,"After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society.","After [NAME] job coach taught her how to do her job in a restaurant, we helped [NAME] step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society.","(0.21500000000000008, 0.14500000000000002, 0.14500000000000002)",Aloof
110CYL069_1152_1284,train,0.30000000000000004,0.10000000000000009,0.10000000000000009,"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:","Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community","(0.30000000000000004, 0.10000000000000009, 0.10000000000000009)",Cooperative
110CYL069_1285_1401,train,0.19999999999999996,0.10000000000000009,0.0,"The business community welcomes not only another worker, but a consumer with increased purchasing power.","The business community welcomes not only another worker, but a consumer with increased purchasing power.","(0.19999999999999996, 0.10000000000000009, 0.0)",Cooperative
110CYL069_1402_1477,train,0.0,-0.050000000000000044,0.10000000000000009,Parents act as role models of self-sufficiency instead of dependency.,Parents act as role models of selfsufficiency instead of dependency.,"(0.0, -0.050000000000000044, 0.10000000000000009)",Reserved
110CYL069_1478_1554,train,0.06000000000000005,0.0,0.0,Tax dollars that would have been spent on public assistance are saved.,Tax dollars that would have been spent on public assistance are saved.,"(0.06000000000000005, 0.0, 0.0)",Repentant
110CYL069_1561_1631,train,-0.1499999999999999,-0.10000000000000009,0.19999999999999996,You and I know that solutions to difficult problems don't just happen.,You and I know that solutions to difficult problems dont just happen.,"(-0.1499999999999999, -0.10000000000000009, 0.19999999999999996)",Proud and lonely
110CYL069_1638_1786,train,0.3999999999999999,0.19999999999999996,0.1499999999999999,"At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:","At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day","(0.3999999999999999, 0.19999999999999996, 0.1499999999999999)",Devoted
110CYL069_1793_1857,dev,0.0,-0.18999999999999995,0.06000000000000005,A Goodwill staff member addresses a group of welfare recipients:,A Goodwill staff member addresses a group of welfare recipients,"(0.0, -0.18999999999999995, 0.06000000000000005)",Reserved
110CYL069_1858_1935,dev,0.0,-0.07000000000000006,0.14500000000000002,"""You can earn the money to support yourself and your family,"" she says.","You can earn the money to support yourself and your family, she says.","(0.0, -0.07000000000000006, 0.14500000000000002)",Proud and lonely
110CYL069_18_35,train,0.050000000000000044,0.050000000000000044,0.050000000000000044,"November 15, 1996","November 15, 1996","(0.050000000000000044, 0.050000000000000044, 0.050000000000000044)",Reprehensible
110CYL069_1936_1967,train,0.0,0.050000000000000044,0.10000000000000009,"""You can get off welfare.",You can get off welfare.,"(0.0, 0.050000000000000044, 0.10000000000000009)",Reprehensible
110CYL069_1968_1985,train,0.06000000000000005,0.0,0.18500000000000005,I know you can...,I know you can,"(0.06000000000000005, 0.0, 0.18500000000000005)",Proud and lonely
110CYL069_1986_1993,train,0.050000000000000044,0.050000000000000044,0.10000000000000009,"I did.""",I did.,"(0.050000000000000044, 0.050000000000000044, 0.10000000000000009)",Reprehensible
110CYL069_2000_2165,train,0.0,-0.07000000000000006,0.07000000000000006,A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.,A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.,"(0.0, -0.07000000000000006, 0.07000000000000006)",Reserved
110CYL069_207_260,train,-0.09000000000000008,-0.135,0.135,His job objectives call for him to do it in 30.,His job objectives call for him to do it in 30.,"(-0.09000000000000008, -0.135, 0.135)",Reserved
110CYL069_2166_2322,train,0.22999999999999998,0.2749999999999999,0.09000000000000008,"once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years.","once his tears have subsided, he confirms what his classmates have already figured out he just received a job offer  his first in five years.","(0.22999999999999998, 0.2749999999999999, 0.09000000000000008)",Cooperative
110CYL069_2329_2471,train,0.135,0.04499999999999993,0.09000000000000008,"Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs.","Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs.","(0.135, 0.04499999999999993, 0.09000000000000008)",Aloof
110CYL069_2552_2596,train,0.04499999999999993,-0.04499999999999993,0.0,At the next corner he tells five more.,At the next corner he tells five more.,"(0.04499999999999993, -0.04499999999999993, 0.0)",Reserved
110CYL069_2603_2727,train,0.05499999999999994,-0.05499999999999994,0.0,"In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division.","In order to develop job skills, a man with some serious disabilities begins working in Goodwills industrial division.","(0.05499999999999994, -0.05499999999999994, 0.0)",Reserved
110CYL069_267_291,test,-0.07000000000000006,0.14500000000000002,0.14500000000000002,He has no time to waste.,He has no time to waste.,"(-0.07000000000000006, 0.14500000000000002, 0.14500000000000002)",Reprehensible
110CYL069_2728_2826,train,-0.18999999999999995,-0.06000000000000005,-0.06000000000000005,It takes a long time for him to gain the self-confidence to work elsewhere in the community.,It takes a long time for him to gain the selfconfidence to work elsewhere in the community.,"(-0.18999999999999995, -0.06000000000000005, -0.06000000000000005)",Weary with responsibility
110CYL069_2833_2895,train,0.05499999999999994,0.0,0.1100000000000001,"Eventually, he turns your support into a payoff for all of us.","Eventually, he turns your support into a payoff for all of us.","(0.05499999999999994, 0.0, 0.1100000000000001)",Proud and lonely
110CYL069_2896_2948,dev,0.25,0.08499999999999996,0.16500000000000004,He proudly leaves Goodwill to support himself.,He proudly leaves Goodwill to support himself.,"(0.25, 0.08499999999999996, 0.16500000000000004)",Modest
110CYL069_2955_2997,train,0.125,0.06000000000000005,0.25,These people and their successes are real.,These people and their successes are real.,"(0.125, 0.06000000000000005, 0.25)",Aloof
110CYL069_298_312,train,0.0,0.0,0.10000000000000009,Neither do we.,Neither do we.,"(0.0, 0.0, 0.10000000000000009)",Reprehensible
110CYL069_2998_3069,train,0.0,-0.10000000000000009,0.050000000000000044,Just like the respect we've earned from U.S. News & World Report.,Just like the respect weve earned from U.S. News  World Report.,"(0.0, -0.10000000000000009, 0.050000000000000044)",Reserved
110CYL069_313_453,test,0.19999999999999996,0.050000000000000044,0.19999999999999996,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.","With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.","(0.19999999999999996, 0.050000000000000044, 0.19999999999999996)",Aloof
110CYL069_3141_3151,train,0.0,0.050000000000000044,0.10000000000000009,Real work.,Real work.,"(0.0, 0.050000000000000044, 0.10000000000000009)",Reprehensible
110CYL069_3152_3165,test,0.0,-0.19999999999999996,0.050000000000000044,Real results.,Real results.,"(0.0, -0.19999999999999996, 0.050000000000000044)",Reserved
110CYL069_3166_3231,train,0.050000000000000044,0.10000000000000009,0.050000000000000044,A real difference in people's lives -- in all of our lives.,A real difference in peoples lives  in all of our lives.,"(0.050000000000000044, 0.10000000000000009, 0.050000000000000044)",Reprehensible
110CYL069_3238_3328,train,0.06000000000000005,0.125,0.18999999999999995,The people who can benefit most directly from your generosity have no time to waste.,The people who can benefit most directly from your generosity have no time to waste.,"(0.06000000000000005, 0.125, 0.18999999999999995)",Proud and lonely
110CYL069_3329_3408,train,0.28,0.05499999999999994,0.05499999999999994,Neither do the rest of us who feel the positive results of their success.,Neither do the rest of us who feel the positive results of their success.,"(0.28, 0.05499999999999994, 0.05499999999999994)",Modest
110CYL069_3409_3451,test,0.19999999999999996,-0.050000000000000044,0.0,Your support helps provide real solutions.,Your support helps provide real solutions.,"(0.19999999999999996, -0.050000000000000044, 0.0)",Modest
110CYL069_3458_3552,dev,0.0,0.0,0.0,Please use the enclosed response card and envelope to give generously to Goodwill today.,Please use the enclosed response card and envelope to give generously to Goodwill today.,"(0.0, 0.0, 0.0)",Repentant
110CYL069_3559_3569,dev,0.050000000000000044,-0.050000000000000044,0.0,"Sincerely,","Sincerely,","(0.050000000000000044, -0.050000000000000044, 0.0)",Reserved
110CYL069_3590_3635,train,0.0,-0.125,0.0,Jack Dustman Board Member and Former Chairman,[NAME] Member and Former Chairman,"(0.0, -0.125, 0.0)",Reserved
110CYL069_460_512,train,0.14500000000000002,0.14500000000000002,0.2849999999999999,We don't waste time as we are helping the community.,We dont waste time as we are helping the community.,"(0.14500000000000002, 0.14500000000000002, 0.2849999999999999)",Aloof
110CYL069_513_544,train,0.050000000000000044,0.0,0.25,And we don't waste money.,And we dont waste money.,"(0.050000000000000044, 0.0, 0.25)",Proud and lonely
110CYL069_545_682,test,0.10000000000000009,0.0,-0.050000000000000044,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.","The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.","(0.10000000000000009, 0.0, -0.050000000000000044)",Repentant
110CYL069_689_842,train,0.2849999999999999,0.21500000000000008,0.14500000000000002,"In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five ""Standout Good Guys.""","In their December, 1995 review of the nations best charities, U.S. News  World Report called Goodwill one of the five Standout Good Guys.","(0.2849999999999999, 0.21500000000000008, 0.14500000000000002)",Cooperative
110CYL069_69_206,train,0.19999999999999996,0.050000000000000044,0.19999999999999996,"In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes.","In the short while since Goodwill helped him find his job, [NAME] has learned to thoroughly clean a motel room in about 40 minutes.","(0.19999999999999996, 0.050000000000000044, 0.19999999999999996)",Aloof
110CYL069_843_964,train,0.19999999999999996,0.050000000000000044,0.1499999999999999,"The magazine stated that Goodwill (as well as the other standouts) is ""uniquely effective, innovative or valuable.""","The magazine stated that Goodwill as well as the other standouts is uniquely effective, innovative or valuable.","(0.19999999999999996, 0.050000000000000044, 0.1499999999999999)",Aloof
110CYL069_971_1145,train,-0.050000000000000044,0.1499999999999999,0.050000000000000044,"While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us.","While I appreciate U.S. News  World Reports endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us.","(-0.050000000000000044, 0.1499999999999999, 0.050000000000000044)",Reprehensible
110CYL070_1013_1100,train,-0.050000000000000044,0.050000000000000044,0.050000000000000044,And there are a lot of people who face these challenges every day of their lives.,And there are a lot of people who face these challenges every day of their lives.,"(-0.050000000000000044, 0.050000000000000044, 0.050000000000000044)",Reprehensible
110CYL070_1101_1127,train,0.07000000000000006,0.0,0.14500000000000002,So our work must continue.,So our work must continue.,"(0.07000000000000006, 0.0, 0.14500000000000002)",Proud and lonely
110CYL070_1134_1181,train,0.25,-0.050000000000000044,0.050000000000000044,Everyone benefits from the work we do together.,Everyone benefits from the work we do together.,"(0.25, -0.050000000000000044, 0.050000000000000044)",Modest
110CYL070_1182_1214,train,-0.050000000000000044,0.050000000000000044,0.050000000000000044,Many people need our help.,Many people need our help.,"(-0.050000000000000044, 0.050000000000000044, 0.050000000000000044)",Reprehensible
110CYL070_1221_1263,train,0.0,0.0,0.0,Please continue our important partnership.,Please continue our important partnership.,"(0.0, 0.0, 0.0)",Repentant
110CYL070_1264_1318,train,0.07000000000000006,0.0,0.14500000000000002,Support Goodwill with a generous donation today.,Support Goodwill with a generous donation today.,"(0.07000000000000006, 0.0, 0.14500000000000002)",Proud and lonely
110CYL070_1325_1335,dev,0.0,-0.3500000000000001,-0.10000000000000009,"Sincerely,","Sincerely,","(0.0, -0.3500000000000001, -0.10000000000000009)",Solemn
110CYL070_1342_1371,test,0.0,-0.125,0.06000000000000005,James M. McClelland President,[NAME] President,"(0.0, -0.125, 0.06000000000000005)",Reserved
110CYL070_135_187,train,0.3500000000000001,0.050000000000000044,0.19999999999999996,We've helped people break free of the welfare cycle.,Weve helped people break free of the welfare cycle.,"(0.3500000000000001, 0.050000000000000044, 0.19999999999999996)",Modest
110CYL070_188_263,train,0.18999999999999995,0.125,0.18999999999999995,We've found ways for people with disabilities to enter the workforce.,Weve found ways for people with disabilities to enter the workforce.,"(0.18999999999999995, 0.125, 0.18999999999999995)",Aloof
110CYL070_18_35,train,0.0,-0.1499999999999999,-0.050000000000000044,"December 10, 1996","December 10, 1996","(0.0, -0.1499999999999999, -0.050000000000000044)",Reserved
110CYL070_264_371,train,0.19999999999999996,0.050000000000000044,0.050000000000000044,We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.,Weve expanded Goodwills proven methods to towns and neighborhoods where they are needed most.,"(0.19999999999999996, 0.050000000000000044, 0.050000000000000044)",Modest
110CYL070_378_418,train,0.050000000000000044,0.050000000000000044,0.050000000000000044,"Of course, we've played different roles.","Of course, weve played different roles.","(0.050000000000000044, 0.050000000000000044, 0.050000000000000044)",Reprehensible
110CYL070_419_498,train,0.30000000000000004,-0.050000000000000044,0.050000000000000044,You have helped make Goodwill's work possible with your previous support.,You have helped make Goodwills work possible with your previous support.,"(0.30000000000000004, -0.050000000000000044, 0.050000000000000044)",Modest
110CYL070_42_72,dev,0.0,0.0,0.0,Dear Mailhouse donor reminder:,Dear Mailhouse donor reminder,"(0.0, 0.0, 0.0)",Repentant
110CYL070_499_580,train,0.10000000000000009,-0.10000000000000009,0.0,Goodwill has devised the programs that turned your investment into results.,Goodwill has devised the programs that turned your investment into results.,"(0.10000000000000009, -0.10000000000000009, 0.0)",Reserved
110CYL070_587_626,dev,0.0,0.19999999999999996,0.050000000000000044,Who has benefited from our partnership?,Who has benefited from our partnership?,"(0.0, 0.19999999999999996, 0.050000000000000044)",Reprehensible
110CYL070_627_640,train,-0.050000000000000044,0.050000000000000044,0.050000000000000044,Everyone has.,Everyone has.,"(-0.050000000000000044, 0.050000000000000044, 0.050000000000000044)",Reprehensible
110CYL070_641_833,train,0.30000000000000004,0.0,0.25,"When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer.","When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer.","(0.30000000000000004, 0.0, 0.25)",Aloof
110CYL070_79_128,train,0.30000000000000004,0.050000000000000044,0.050000000000000044,You and I have done some important work together.,You and I have done some important work together.,"(0.30000000000000004, 0.050000000000000044, 0.050000000000000044)",Cooperative
110CYL070_840_1012,train,-0.16500000000000004,-0.05499999999999994,0.05499999999999994,"There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem.","There are a lot of barriers that keep people from working physical and mental disabilities, history of welfare dependency and lack of education or selfesteem.","(-0.16500000000000004, -0.05499999999999994, 0.05499999999999994)",Weary with responsibility
110CYL071_1114_1167,test,0.3899999999999999,0.16500000000000004,0.16500000000000004,"At last, he has found success in a job that he loves.","At last, he has found success in a job that he loves.","(0.3899999999999999, 0.16500000000000004, 0.16500000000000004)",Devoted
110CYL071_1168_1224,train,0.050000000000000044,0.050000000000000044,0.050000000000000044,Now his goals are set on moving up in the company.,Now his goals are set on moving up in the company.,"(0.050000000000000044, 0.050000000000000044, 0.050000000000000044)",Reprehensible
110CYL071_1231_1280,train,0.06000000000000005,0.125,0.06000000000000005,"Every year, thousands of people come to Goodwill.","Every year, thousands of people come to Goodwill.","(0.06000000000000005, 0.125, 0.06000000000000005)",Reprehensible
110CYL071_1281_1339,train,-0.07000000000000006,0.14500000000000002,0.07000000000000006,"Like Michael, they share two common characteristics.","Like [NAME], they share two common characteristics.","(-0.07000000000000006, 0.14500000000000002, 0.07000000000000006)",Reprehensible
110CYL071_1340_1405,train,0.0,-0.1499999999999999,0.0,They face some barrier to employment and they want to work.,They face some barrier to employment and they want to work.,"(0.0, -0.1499999999999999, 0.0)",Reserved
110CYL071_1412_1547,train,0.18999999999999995,0.25,0.31499999999999995,"With support from people like you, they can overcome their barriers and earn success and the self-sufficiency that comes with it.","With support from people like you, they can overcome their barriers and earn success and the selfsufficiency that comes with it.","(0.18999999999999995, 0.25, 0.31499999999999995)",Serious
110CYL071_1548_1607,train,0.18999999999999995,0.0,0.06000000000000005,And then the pay-off begins for the entire community.,And then the payoff begins for the entire community.,"(0.18999999999999995, 0.0, 0.06000000000000005)",Modest
110CYL071_1720_1830,train,0.19999999999999996,0.050000000000000044,0.0,"Last year, participants in Goodwill programs earned --and paid taxes on -- wages of nearly $3.5 million.","Last year, participants in Goodwill programs earned and paid taxes on  wages of nearly 3.5 million.","(0.19999999999999996, 0.050000000000000044, 0.0)",Modest
110CYL071_175_239,train,0.1499999999999999,0.1499999999999999,0.050000000000000044,Michael Sims felt that way at age 39 -- the day he earned a job.,[NAME] felt that way at age 39  the day he earned a job.,"(0.1499999999999999, 0.1499999999999999, 0.050000000000000044)",Cooperative
110CYL071_1837_1955,test,0.3500000000000001,-0.050000000000000044,0.1499999999999999,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,Their successes at work also saved taxpayers more than threequarters of a million dollars in public assistance.,"(0.3500000000000001, -0.050000000000000044, 0.1499999999999999)",Modest
110CYL071_18_35,train,0.0,-0.3999999999999999,-0.10000000000000009,"November 15, 1994","November 15, 1994","(0.0, -0.3999999999999999, -0.10000000000000009)",Solemn
110CYL071_1962_2031,test,0.0,-0.31000000000000005,0.18999999999999995,"The savings are counted in more ways than dollars and cents, however.","The savings are counted in more ways than dollars and cents, however.","(0.0, -0.31000000000000005, 0.18999999999999995)",Nonchalant
110CYL071_2038_2263,train,0.10000000000000009,-0.050000000000000044,0.0,"The families of the new wage earners may feel the accomplishment in terms of a house to live in, money to purchase food -- without food stamps -- and the beginning of a family focused on success, not hopelessness.","The families of the new wage earners may feel the accomplishment in terms of a house to live in, money to purchase food  without food stamps  and the beginning of a family focused on success, not hopelessness.","(0.10000000000000009, -0.050000000000000044, 0.0)",Reserved
110CYL071_2270_2322,train,0.0,0.1499999999999999,0.050000000000000044,Won't you help make all of these successes possible?,Wont you help make all of these successes possible?,"(0.0, 0.1499999999999999, 0.050000000000000044)",Reprehensible
110CYL071_2323_2391,dev,-0.10000000000000009,-0.10000000000000009,0.1499999999999999,Please send the largest contribution you can comfortably make.,Please send the largest contribution you can comfortably make.,"(-0.10000000000000009, -0.10000000000000009, 0.1499999999999999)",Reserved
110CYL071_2392_2518,test,0.30000000000000004,0.10000000000000009,0.050000000000000044,Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.,Your gift will help give new meaning to the word success  for people who have seldom had reason to use the word.,"(0.30000000000000004, 0.10000000000000009, 0.050000000000000044)",Cooperative
110CYL071_246_283,test,-0.42999999999999994,0.07000000000000006,-0.07000000000000006,Michael was born with cerebral palsy.,[NAME] was born with cerebral palsy.,"(-0.42999999999999994, 0.07000000000000006, -0.07000000000000006)",Anguished
110CYL071_2525_2535,train,0.125,0.0,0.0,"Sincerely,","Sincerely,","(0.125, 0.0, 0.0)",Modest
110CYL071_2542_2571,train,0.0,0.0,0.0,James M. McClelland President,[NAME] President,"(0.0, 0.0, 0.0)",Repentant
110CYL071_2578_2582,train,0.0,-0.050000000000000044,0.0,P.S.,P.S.,"(0.0, -0.050000000000000044, 0.0)",Reserved
110CYL071_2583_2616,train,0.32000000000000006,0.18500000000000005,0.2250000000000001,Your gift will make a difference.,Your gift will make a difference.,"(0.32000000000000006, 0.18500000000000005, 0.2250000000000001)",Serious
110CYL071_2617_2795,train,0.30000000000000004,0.10000000000000009,0.10000000000000009,"For every dollar of public support Goodwill received last year, we returned $1.59 to the community in the form of earned wages and reduced public assistance payments.","For every dollar of public support Goodwill received last year, we returned 1.59 to the community in the form of earned wages and reduced public assistance payments.","(0.30000000000000004, 0.10000000000000009, 0.10000000000000009)",Cooperative
110CYL071_284_391,dev,0.1499999999999999,0.10000000000000009,0.0,"Upon entering the work force, he discovered few job opportunities that seemed to match his abilities.","Upon entering the work force, he discovered few job opportunities that seemed to match his abilities.","(0.1499999999999999, 0.10000000000000009, 0.0)",Modest
110CYL071_398_457,train,0.0,-0.10000000000000009,0.050000000000000044,For several years he performed packaging and clerical work.,For several years he performed packaging and clerical work.,"(0.0, -0.10000000000000009, 0.050000000000000044)",Reserved
110CYL071_42_48,train,0.0,0.0,0.0,"Dear ,","Dear ,","(0.0, 0.0, 0.0)",Repentant
110CYL071_458_550,test,-0.31000000000000005,0.0,-0.06000000000000005,His most recent job lasted only a year before cut-backs eliminated his position.,His most recent job lasted only a year before cutbacks eliminated his position.,"(-0.31000000000000005, 0.0, -0.06000000000000005)",Weary with responsibility
110CYL071_557_605,train,-0.3899999999999999,0.05499999999999994,-0.05499999999999994,For 18 long months Michael could not find a job.,For 18 long months [NAME] could not find a job.,"(-0.3899999999999999, 0.05499999999999994, -0.05499999999999994)",Weary with responsibility
