id,split,V,A,D,text,fil_text_5
110CYL069_843_964,train,3.4,3.1,3.3,"The magazine stated that Goodwill (as well as the other standouts) is ""uniquely effective, innovative or valuable.""","The magazine stated that Goodwill as well as the other standouts is uniquely effective, innovative or valuable."
110CYL069_971_1145,train,2.9,3.3,3.1,"While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us.","While I appreciate U.S. News  World Reports endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us."
110CYL070_1013_1100,train,2.9,3.1,3.1,And there are a lot of people who face these challenges every day of their lives.,And there are a lot of people who face these challenges every day of their lives.
110CYL070_1101_1127,train,3.14,3.0,3.29,So our work must continue.,So our work must continue.
110CYL070_1134_1181,train,3.5,2.9,3.1,Everyone benefits from the work we do together.,Everyone benefits from the work we do together.
110CYL070_1182_1214,train,2.9,3.1,3.1,Many people need our help.,Many people need our help.
110CYL070_1221_1263,train,3.0,3.0,3.0,Please continue our important partnership.,Please continue our important partnership.
110CYL070_1264_1318,train,3.14,3.0,3.29,Support Goodwill with a generous donation today.,Support Goodwill with a generous donation today.
110CYL070_1325_1335,dev,3.0,2.3,2.8,"Sincerely,","Sincerely,"
110CYL070_1342_1371,test,3.0,2.75,3.12,James M. McClelland President,[NAME] President
110CYL070_135_187,train,3.7,3.1,3.4,We've helped people break free of the welfare cycle.,Weve helped people break free of the welfare cycle.
110CYL070_188_263,train,3.38,3.25,3.38,We've found ways for people with disabilities to enter the workforce.,Weve found ways for people with disabilities to enter the workforce.
110CYL070_18_35,train,3.0,2.7,2.9,"December 10, 1996","December 10, 1996"
110CYL070_264_371,train,3.4,3.1,3.1,We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.,Weve expanded Goodwills proven methods to towns and neighborhoods where they are needed most.
110CYL070_378_418,train,3.1,3.1,3.1,"Of course, we've played different roles.","Of course, weve played different roles."
110CYL070_419_498,train,3.6,2.9,3.1,You have helped make Goodwill's work possible with your previous support.,You have helped make Goodwills work possible with your previous support.
110CYL070_42_72,dev,3.0,3.0,3.0,Dear Mailhouse donor reminder:,Dear Mailhouse donor reminder
110CYL070_499_580,train,3.2,2.8,3.0,Goodwill has devised the programs that turned your investment into results.,Goodwill has devised the programs that turned your investment into results.
110CYL070_587_626,dev,3.0,3.4,3.1,Who has benefited from our partnership?,Who has benefited from our partnership?
110CYL070_627_640,train,2.9,3.1,3.1,Everyone has.,Everyone has.
110CYL070_641_833,train,3.6,3.0,3.5,"When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer.","When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer."
110CYL070_79_128,train,3.6,3.1,3.1,You and I have done some important work together.,You and I have done some important work together.
110CYL070_840_1012,train,2.67,2.89,3.11,"There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem.","There are a lot of barriers that keep people from working physical and mental disabilities, history of welfare dependency and lack of education or selfesteem."
110CYL071_1114_1167,test,3.78,3.33,3.33,"At last, he has found success in a job that he loves.","At last, he has found success in a job that he loves."
110CYL071_1168_1224,train,3.1,3.1,3.1,Now his goals are set on moving up in the company.,Now his goals are set on moving up in the company.
110CYL071_1231_1280,train,3.12,3.25,3.12,"Every year, thousands of people come to Goodwill.","Every year, thousands of people come to Goodwill."
110CYL071_1281_1339,train,2.86,3.29,3.14,"Like Michael, they share two common characteristics.","Like [NAME], they share two common characteristics."
110CYL071_1340_1405,train,3.0,2.7,3.0,They face some barrier to employment and they want to work.,They face some barrier to employment and they want to work.
110CYL071_1412_1547,train,3.38,3.5,3.63,"With support from people like you, they can overcome their barriers and earn success and the self-sufficiency that comes with it.","With support from people like you, they can overcome their barriers and earn success and the selfsufficiency that comes with it."
110CYL071_1548_1607,train,3.38,3.0,3.12,And then the pay-off begins for the entire community.,And then the payoff begins for the entire community.
110CYL071_1720_1830,train,3.4,3.1,3.0,"Last year, participants in Goodwill programs earned --and paid taxes on -- wages of nearly $3.5 million.","Last year, participants in Goodwill programs earned and paid taxes on  wages of nearly 3.5 million."
110CYL071_175_239,train,3.3,3.3,3.1,Michael Sims felt that way at age 39 -- the day he earned a job.,[NAME] felt that way at age 39  the day he earned a job.
110CYL071_1837_1955,test,3.7,2.9,3.3,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,Their successes at work also saved taxpayers more than threequarters of a million dollars in public assistance.
110CYL071_18_35,train,3.0,2.2,2.8,"November 15, 1994","November 15, 1994"
110CYL071_1962_2031,test,3.0,2.38,3.38,"The savings are counted in more ways than dollars and cents, however.","The savings are counted in more ways than dollars and cents, however."
110CYL071_2038_2263,train,3.2,2.9,3.0,"The families of the new wage earners may feel the accomplishment in terms of a house to live in, money to purchase food -- without food stamps -- and the beginning of a family focused on success, not hopelessness.","The families of the new wage earners may feel the accomplishment in terms of a house to live in, money to purchase food  without food stamps  and the beginning of a family focused on success, not hopelessness."
110CYL071_2270_2322,train,3.0,3.3,3.1,Won't you help make all of these successes possible?,Wont you help make all of these successes possible?
110CYL071_2323_2391,dev,2.8,2.8,3.3,Please send the largest contribution you can comfortably make.,Please send the largest contribution you can comfortably make.
110CYL071_2392_2518,test,3.6,3.2,3.1,Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.,Your gift will help give new meaning to the word success  for people who have seldom had reason to use the word.
110CYL071_246_283,test,2.14,3.14,2.86,Michael was born with cerebral palsy.,[NAME] was born with cerebral palsy.
110CYL071_2525_2535,train,3.25,3.0,3.0,"Sincerely,","Sincerely,"
110CYL071_2542_2571,train,3.0,3.0,3.0,James M. McClelland President,[NAME] President
110CYL071_2578_2582,train,3.0,2.9,3.0,P.S.,P.S.
110CYL071_2583_2616,train,3.64,3.37,3.45,Your gift will make a difference.,Your gift will make a difference.
110CYL071_2617_2795,train,3.6,3.2,3.2,"For every dollar of public support Goodwill received last year, we returned $1.59 to the community in the form of earned wages and reduced public assistance payments.","For every dollar of public support Goodwill received last year, we returned 1.59 to the community in the form of earned wages and reduced public assistance payments."
110CYL071_284_391,dev,3.3,3.2,3.0,"Upon entering the work force, he discovered few job opportunities that seemed to match his abilities.","Upon entering the work force, he discovered few job opportunities that seemed to match his abilities."
110CYL071_398_457,train,3.0,2.8,3.1,For several years he performed packaging and clerical work.,For several years he performed packaging and clerical work.
110CYL071_42_48,train,3.0,3.0,3.0,"Dear ,","Dear ,"
110CYL071_458_550,test,2.38,3.0,2.88,His most recent job lasted only a year before cut-backs eliminated his position.,His most recent job lasted only a year before cutbacks eliminated his position.
110CYL071_557_605,train,2.22,3.11,2.89,For 18 long months Michael could not find a job.,For 18 long months [NAME] could not find a job.
110CYL071_55_94,train,3.44,3.0,3.33,Think of your greatest accomplishments.,Think of your greatest accomplishments.
110CYL071_606_664,test,2.7,3.1,3.1,He resorted to public assistance dollars to survive.,He resorted to public assistance dollars to survive.
110CYL071_665_698,test,3.1,3.1,3.0,"Finally, Michael called Goodwill.","Finally, [NAME] called Goodwill."
110CYL071_705_892,train,3.6,3.1,3.1,"At Goodwill, Michael's counselors felt that his personable demeanor could be a major attribute and identified for him a possible job-match where his people skills could shine.","At Goodwill, Michaels counselors felt that his personable demeanor could be a major attribute and identified for him a possible jobmatch where his people skills could shine."
110CYL071_899_985,train,3.6,3.0,3.2,"After three interviews, Michael proved that he was the right person for the job.","After three interviews, [NAME] proved that he was the right person for the job."
110CYL071_95_168,train,4.0,3.6,3.2,Think of the joy and success they bring to you and your loved ones.,Think of the joy and success they bring to you and your loved ones.
110CYL071_986_1107,dev,3.1,2.7,3.0,"As the Clubhouse Monitor at Bent Tree Apartments, he now provides customer service for 50 to 60 tenants each night.","As the Clubhouse Monitor at Bent Tree Apartments, he now provides customer service for 50 to 60 tenants each night."
110CYL072_130_264,train,2.6,3.0,2.8,Their complaint: the system discourages working because unemployment provides benefits that many entry-level jobs don't include.,Their complaint the system discourages working because unemployment provides benefits that many entrylevel jobs dont include.
110CYL072_18_123,train,3.0,2.8,2.9,Some of the strongest critics of our welfare system are the people who have become dependent on it.,Some of the strongest critics of our welfare system are the people who have become dependent on it.
110CYL072_271_313,train,3.1,3.0,3.3,That's where you --and Goodwill --come in.,Thats where you and [NAME] come in.
110CYL072_314_412,train,3.25,2.87,2.87,We help people train for and find jobs that make it possible for them to get off of welfare.,We help people train for and find jobs that make it possible for them to get off of welfare.
110CYL072_413_518,train,3.8,3.3,3.2,"Last year, Goodwill placed 511 people in jobs, more than double the number we placed in 1993.","Last year, Goodwill placed 511 people in jobs, more than double the number we placed in 1993."
110CYL072_525_641,train,2.7,3.1,2.9,"While the debate on welfare reform is gathering like a storm at sea, the people who need jobs are floundering.","While the debate on welfare reform is gathering like a storm at sea, the people who need jobs are floundering."
110CYL072_642_721,train,3.1,2.8,3.1,We need your support to continue getting people off of public assistance.,We need your support to continue getting people off of public assistance.
110CYL072_728_754,train,2.9,3.0,3.0,Welfare is not the answer.,Welfare is not the answer.
110CYL072_755_835,train,2.8,3.0,2.8,And welfare reform is an uncertain solution with an unknown starting date.,And welfare reform is an uncertain solution with an unknown starting date.
110CYL072_836_851,train,3.87,3.25,3.5,Goodwill works.,Goodwill works.
110CYL072_852_862,train,2.86,3.0,3.43,Right now.,Right now.
110CYL072_869_924,train,3.2,3.0,3.0,Please give the largest gift you can to Goodwill today.,Please give the largest gift you can to Goodwill today.
110CYL072_931_969,train,3.0,2.8,3.0,"Sincerely, Jack Dustman Chairman","Sincerely, [NAME] Chairman"
110CYL200_1290_1428,dev,2.3,3.0,2.8,"With unemployment at its lowest point in years in central Indiana, many people still have a hard time finding meaningful employment.","With unemployment at its lowest point in years in central Indiana, many people still have a hard time finding meaningful employment."
110CYL200_1569_1610,train,2.9,2.9,3.0,"Some, like Jerry, are ex-offenders.","Some, like [NAME], are exoffenders."
110CYL200_1611_1668,test,2.57,3.0,3.0,"Some are blind, deaf or have other physical disabilities.","Some are blind, deaf or have other physical disabilities."
110CYL200_1675_1703,train,2.2,3.0,2.7,More than 100 were homeless.,More than 100 were homeless.
110CYL200_1710_1804,train,3.4,3.3,3.2,"But Goodwill offers hope even to people with numerous obstacles to overcome, like Jerry.","But Goodwill offers hope even to people with numerous obstacles to overcome, like [NAME]."
110CYL200_1805_2047,train,3.5,3.1,3.4,"With a promising new job at a plastic injection molding manufacturer, his legal troubles in check and a safe place to live, Jerry can get on with the business of building a life for himself and contributing to his community.","With a promising new job at a plastic injection molding manufacturer, his legal troubles in check and a safe place to live, [NAME] can get on with the business of building a life for himself and contributing to his community."
110CYL200_18_32,train,3.0,2.9,3.1,"March 17, 2000","March 17, 2000"
110CYL200_2048_2113,dev,3.0,2.8,2.9,"For as long as he needs it, Goodwill will continue to help.","For as long as he needs it, Goodwill will continue to help."
110CYL200_210_382,train,2.7,3.1,2.9,"He knew he had made a bad mistake, but despite his commitment to rebuilding his life, he just didn't count on the obstacles that would be thrown up in his path.","He knew he had made a bad mistake, but despite his commitment to rebuilding his life, he just didnt count on the obstacles that would be thrown up in his path."
110CYL200_2120_2281,train,3.5,2.8,3.1,Your support of Goodwill will provide job training and placement services to help the hardest to serve in central Indiana find meaningful employment.,Your support of Goodwill will provide job training and placement services to help the hardest to serve in central Indiana find meaningful employment.
110CYL200_2282_2388,train,3.43,2.57,2.86,"And, with your assistance, Goodwill can help employers develop resources to keep workers on the job.","And, with your assistance, Goodwill can help employers develop resources to keep workers on the job."
110CYL200_2395_2491,train,3.29,2.86,3.29,Please make an investment in the stability of our community by sending a gift to Goodwill.,Please make an investment in the stability of our community by sending a gift to Goodwill.
110CYL200_2492_2541,train,3.56,3.33,3.0,Your generosity will help people help themselves.,Your generosity will help people help themselves.
110CYL200_2548_2558,test,3.22,3.11,3.11,"Sincerely,","Sincerely,"
110CYL200_2565_2594,train,3.0,2.7,3.0,James M. McClelland President,[NAME] President
110CYL200_389_480,train,2.0,3.5,2.38,Reality hit when he was unable to reconcile with his wife and ended up on the street.,Reality hit when he was unable to reconcile with his wife and ended up on the street.
110CYL200_39_65,train,3.0,2.5,3.1,"Name Address City, ST, Zip","Name Address City, ST, [NAME]"
110CYL200_481_588,test,3.0,3.0,3.0,He went to the Center Township Trustee for food stamps until he could find a job and a place to live.,He went to the Center Township Trustee for food stamps until he could find a job and a place to live.
110CYL200_589_724,train,3.2,3.0,3.0,The Trustee referred him to the Blue Triangle where he consulted Goodwill's Career Academy staff for job search assistance.,The Trustee referred him to the Blue Triangle where he consulted Goodwills Career Academy staff for job search assistance.
110CYL200_72_82,dev,3.0,2.6,3.1,Dear Name:,Dear Name
110CYL200_731_787,train,3.3,3.0,3.0,Jerry's Goodwill caseworker found him a job immediately.,[NAME] caseworker found him a job immediately.
110CYL200_788_832,train,2.5,3.25,3.0,But Jerry's troubles didn't end there.,But [NAME] troubles didnt end there.
110CYL200_833_946,train,2.89,3.0,3.0,"The seasonal construction job he obtained soon ended, and he returned to Career Academy for help once more.","The seasonal construction job he obtained soon ended, and he returned to Career Academy for help once more."
110CYL200_89_209,train,3.0,2.57,3.57,"When Jerry was released from prison, he knew it would take hard work and determination to straighten out his life.","When [NAME] was released from prison, he knew it would take hard work and determination to straighten out his life."
110CYL200_947_1076,train,2.2,3.0,2.3,"Unemployed, homeless and with a prison record, Jerry now faced going back to prison for failure to pay child support.","Unemployed, homeless and with a prison record, [NAME] now faced going back to prison for failure to pay child support."
112C-L012_1236_1337,train,3.0,3.0,3.1,"Such fund are often used for college tuition, vocational training or a deposit on an apartment.","Such fund are often used for college tuition, vocational training or a deposit on an apartment."
112C-L012_1569_1624,train,2.29,3.29,2.71,"Without private donor support, this Fund doesn't exist.","Without private donor support, this Fund doesnt exist."
112C-L012_1625_1768,test,3.12,2.88,2.75,Please take a few minutes to send a donation to help one or more of our children successfully cross that threshold into the future.,Please take a few minutes to send a donation to help one or more of our children successfully cross that threshold into the future.
112C-L012_1775_1785,train,3.22,3.0,3.0,"Sincerely,","Sincerely,"
112C-L012_1792_1820,train,2.9,2.9,3.1,Mary Roth Executive Director,[NAME] Executive Director
112C-L012_184_255,dev,3.0,2.89,3.0,The young adults who leave Pleasant Run have those same feelings.,The young adults who leave Pleasant Run have those same feelings.
112C-L012_18_31,train,3.0,2.75,3.0,"June 21, 1999","June 21, 1999"
112C-L012_256_305,dev,2.5,2.9,2.9,Very few have family support to get them started.,Very few have family support to get them started.
112C-L012_312_402,dev,2.62,2.88,2.5,"Many need furniture, linens and other basic necessities to begin lives on their own.","Many need furniture, linens and other basic necessities to begin lives on their own."
112C-L012_38_63,train,3.0,2.9,3.1,"Name Address City, ST Zip","Name Address City, ST Zip"
112C-L012_409_634,test,3.2,3.0,3.3,"To help them establish themselves in the community, the Pleasant Run Emancipation fund was begun in 1993 by private donors who wanted to provide a measure of financial support for those leaving our programs.","To help them establish themselves in the community, the Pleasant Run Emancipation fund was begun in 1993 by private donors who wanted to provide a measure of financial support for those leaving our programs."
112C-L012_641_784,train,3.2,3.1,3.0,Individuals who are being emancipated are eligible to receive up to $500 from the Fund if they formally apply and meet four requirements:,Individuals who are being emancipated are eligible to receive up to 500 from the Fund if they formally apply and meet four requirements
112C-L012_70_76,dev,3.22,2.89,3.0,"Dear ,","Dear ,"
112C-L012_785_815,train,3.0,2.88,3.0,1. Release by the courts,1. Release by the courts
112C-L012_816_865,train,3.5,3.1,3.5,2. Successful completion of all life skills tests,2. Successful completion of all life skills tests
112C-L012_83_183,train,3.1,3.4,3.2,Do you remember the combination of elation and apprehension you felt when you first left home?,Do you remember the combination of elation and apprehension you felt when you first left home?
112C-L012_872_930,train,2.88,2.88,3.25,3. Positive termination of his or her Pleasant Run program,3. Positive termination of his or her Pleasant Run program
112C-L012_931_982,train,3.29,2.71,3.29,4. Possession of a high school diploma or GED,4. Possession of a high school diploma or GED
112C-L012_989_1229,train,3.0,3.1,3.2,"Proof of meeting these, two staff reference letters and an essay stating why they should receive a grant and how it will be used are all reviewed by a Pleasant Run panel, which determines if the applicant merits the funds.","Proof of meeting these, two staff reference letters and an essay stating why they should receive a grant and how it will be used are all reviewed by a Pleasant Run panel, which determines if the applicant merits the funds."
112C-L013_1054_1129,train,3.0,3.0,3.0,Then the task was to help children who lost parents in the Civil War.,Then the task was to help children who lost parents in the Civil War.
112C-L013_1130_1256,test,2.6,3.1,2.9,"Today, we serve children and families with a multitude of problems: emotional, physical, psychological and sexual abuse.","Today, we serve children and families with a multitude of problems emotional, physical, psychological and sexual abuse."
112C-L013_1257_1343,train,3.3,3.0,3.1,"Some come from families where, through therapy, there is hope for reunification.","Some come from families where, through therapy, there is hope for reunification."
112C-L013_1344_1448,train,3.2,3.0,3.0,"For others, ""families"" are the counselors are housemates at the group homes where they live.","For others, families are the counselors are housemates at the group homes where they live."
112C-L013_1455_1532,dev,2.36,3.36,2.64,The biggest tragedy is that the problems don't go away; they only grow.,The biggest tragedy is that the problems dont go away they only grow.
112C-L013_156_252,test,2.8,3.0,3.0,"Little ones, like Baby Jessica, caught in the struggle between adoptive and birth parents.","Little ones, like [NAME], caught in the struggle between adoptive and birth parents."
112C-L013_1592_1655,train,3.5,3.0,3.25,In 1995 we will serve over 850 children and 340 families.,In 1995 we will serve over 850 children and 340 families.
